,Alemão,Português
43192,menstruation,menstruação
43193,gros,ampla
43194,anschieben,Empurre
43195,pigalle,Pigalle
43196,authentizität,autenticidade
43197,verführerin,mulher sedutora
43198,huston,Huston
43199,geschmacks,insípido
43200,rostov,Rostov
43201,sabbath,Sábado
43202,zerronnen,Vanished
43203,genieren,genieren
43204,bajonette,bajonette
43205,gefall,Outono
43206,faszinierte,fascinado
43207,durchbrach,através de falência
43208,abgestumpft,embotada
43209,aylin,do mês
43210,blecha,Blecha
43211,chain,corrente
43212,vitalität,vitalidade
43213,lauch,alho-poró
43214,thruster,propulsor
43215,tribbiani,Tribbiani
43216,véro,véro
43217,maximalen,máximo
43218,verhielten,comportado
43219,translation,tradução
43220,aufzufrischen,refrescar
43221,unauffälliger,imperceptível
43222,pepa,papel
43223,geheimrezept,receita secreta
43224,dido,travessura
43225,vorzeichen,placa
43226,umzugswagen,gerenciar riscos
43227,stromleitungen,linhas de alta tensão
43228,terran,terran
43229,empfindlicher,confidencial
43230,geklatscht,aplaudido
43231,geek,nerd
43232,zivilisierter,civilizado
43233,allemann,Allemann
43234,brutstätte,viveiro
43235,aufträgen,contratos
43236,vi.,nós.
43237,körperwärme,calor corporal
43238,hoh,hoh
43239,stränden,praias
43240,gehenlassen,solte
43241,rumänen,romena
43242,operandi,operandi
43243,duvall,Duvall
43244,gegnerin,respondente
43245,reality-show,reality show
43246,ruinier,arruinando
43247,schrubbe,esfregar
43248,ex-ehemann,ex-marido
43249,rickie,Rickie
43250,meinungsfreiheit,liberdade de expressão
43251,döner,rotativo
43252,hofnarr,Hofnarr
43253,diözese,diocese
43254,offensichtlicher,óbvio
43255,marianna,Marianna
43256,einsacken,pegar
43257,bestialisch,bestialisch
43258,rmã,RMA
43259,dassey,dassey
43260,tulse,Tulse
43261,scheißladen,porrada
43262,silbernes,prata
43263,julián,juliano
43264,erhebst,exaltar
43265,dealst,dealst
43266,lebenswichtigen,vital
43267,unbewaffnete,desarmado
43268,gemixt,misturado
43269,frederica,Frederica
43270,fristen,suprir
43271,frühjahrsputz,limpeza de primavera
43272,sock,meia
43273,susannah,Susannah
43274,rough,duro
43275,semiramis,semiramis
43276,variation,variação
43277,goo,gosma
43278,entsetzliches,horrível
43279,dörrfleisch,carne dörr
43280,legba,Legba
43281,rosengarten,Jardim de rosas
43282,manege,escola de equitação
43283,bindeglied,ligação
43284,mitgearbeitet,Colaborou
43285,akio,Akio
43286,waco,Waco
43287,eingekesselt,cercado
43288,concha,Concha
43289,stromquelle,fonte de energia
43290,tosca,tosca
43291,vorbildlicher,modelo
43292,schussbahn,trem-bala
43293,verführe,seduzir
43294,aufhältst,peregrinou
43295,rückhalt,"Apoio, suporte"
43296,krebsgeschwür,Câncer
43297,iwo,iwo
43298,liebesszene,Cena de amor
43299,schiefen,inclinado
43300,bedeutungslosen,sem significado
43301,variieren,variar
43302,speiseplan,dieta
43303,junko,junko
43304,geräts,equipamento
43305,barbas,barbas
43306,alys,alys
43307,clarkes,clarkes
43308,zusammengestoßen,colidiram
43309,wehte,arejada
43310,rüberkommt,se deparou
43311,weltberühmt,reconhecido mundialmente
43312,schürhaken,pôquer
43313,facharzt,consultor
43314,großbuchstaben,letra maiúscula
43315,schöpfers,", O Criador"
43316,mulch,adubo
43317,mitteilt,diz
43318,gómez,Gómez
43319,versprochenen,prometido
43320,pfuschen,estragar
43321,rhetorisch,retórico
43322,überlieferung,tradição
43323,bestehende,existir
43324,zeigtest,mOSTROU
43325,netzhaut,retina
43326,visor,viseira
43327,eingeschneit,Nevou em
43328,mayla2012,mayla2012
43329,besticht,ofertas
43330,regelmäßiges,regular
43331,anrufliste,registro de chamadas
43332,bonny,galante
43333,clinch,clinch
43334,couchtisch,mesa de café
43335,philibert,philibert
43336,gefällts,gefällts
43337,sharpe,Sharpe
43338,hindernissen,obstáculos
43339,halteverbot,linha Amarela
43340,milano,Milan
43341,baumstämme,baumstämme
43342,simsalabim,Simsalabim
43343,whitlock,Whitlock
43344,episch,épico
43345,zustimmte,acordado
43346,rarität,raridade
43347,pru,forneceu
43348,jamies,jamies
43349,armreif,bracelete
43350,kindersitz,assento infantil
43351,zielgeraden,alvo direto
43352,heidelberg,Heidelberg
43353,margeir,Margeirsson
43354,klapperschlangen,cascavéis
43355,geschäftspartnerin,Partnerin negócios
43356,sly,manhoso
43357,hle,lo
43358,quinns,quinns
43359,combo,combinação
43360,kakteen,cactos
43361,vergast,gaseificado
43362,danko,Danko
43363,operativ,operativo
43364,moderiert,moderado
43365,angstlaute,angstlaute
43366,fring,fring
43367,erdolcht,esfaqueado
43368,sle,sle
43369,aufschneider,fanfarrão
43370,gannon,Gannon
43371,fehlgeleitet,enganar
43372,latina,latino
43373,scheußlicher,medonho
43374,faa,alguns
43375,reddle,ocre vermelho
43376,lügnern,mentirosos
43377,todfeind,inimigo mortal
43378,midas,midas
43379,mitteilte,contou
43380,schalteten,comutada
43381,nachmittage,tardes
43382,knattern,knattern
43383,sobel,Sobel
43384,geblockt,bloqueado
43385,trap,armadilha
43386,überflüssigen,supérfluo
43387,unmöglichkeit,impossibilidade
43388,erhoffte,esperado
43389,wampe,dar-lhe
43390,stromstoß,surto
43391,wham,wham
43392,umsorgt,cuidada
43393,ausschreiben,escrever por extenso
43394,mahagoni,mogno
43395,jahrelanger,anos
43396,haggerty,haggerty
43397,crocodile,crocodilo
43398,canton,Cantão
43399,lenker,ligações
43400,doofer,Doofer
43401,ergebene,devotado
43402,fragliche,em questão
43403,attentäterin,assassino
43404,ottos,Ottos
43405,jeffersons,Jeffersons
43406,schuhcreme,sapato polonês
43407,mucke,mosquito
43408,geheimbund,sociedade secreta
43409,tachykardie,taquicardia
43410,katastrophalen,desastroso
43411,geologe,geólogo
43412,rosebud,rosebud
43413,siringo,lilás
43414,väterliche,paternal
43415,mutterland,terra-mãe
43416,kreuzungen,cruzamentos
43417,schmerzerfüllt,doído
43418,fügten,adicionado
43419,mordverdächtigen,suspeito de assassinato
43420,fuego,fogo
43421,ginas,Ginas
43422,schwalben,andorinhas
43423,eintracht,concórdia
43424,carpe,carpa
43425,angeflogen,mosca
43426,klavierspielen,tocar piano
43427,mordmotiv,projetos de assassinato
43428,anfahren,acertar
43429,weiß.,Branco.
43430,kandahar,kandahar
43431,zufügt,inflige
43432,kartells,cartel
43433,reaktoren,reactores
43434,türgeräusch,o ruído da porta
43435,vaterlandes,pátria
43436,pippa,Pippa
43437,hinkomme,hinkomme
43438,ehrgefühl,honra
43439,bedeutungen,significados
43440,garnett,Garnett
43441,frauenhaus,dona de casa
43442,saffron,açafrão
43443,jeopardy,perigo
43444,gr,gr
43445,schonungslos,unsparingly
43446,eisbeutel,pacote de gelo
43447,whitley,Whitley
43448,weapon,arma
43449,bimmeln,tinir
43450,fernzubleiben,ficar longe
43451,heilbutt,bunda inteira
43452,levon,de descanso
43453,julianne,Julianne
43454,jabbar,jabbar
43455,kindergeschrei,crianças gritando
43456,impulskraft,força impulsiva
43457,milli,Nacional
43458,schippe,pá
43459,sicherheitsabteilung,Departamento de Segurança
43460,bienchen,Bienchen
43461,twins,gêmeos
43462,jervis,Jervis
43463,schuldscheine,notas promissórias
43464,warja,warja
43465,verblendet,cego
43466,mardon,mardon
43467,reader,leitor
43468,jeeter,Jeeter
43469,alsbald,imediatamente
43470,piè,rodapés
43471,urteilst,estão julgando
43472,lieblingssendung,transmissão favorito
43473,zugenagelt,pregado
43474,expertise,perícia
43475,louisville,Louisville
43476,anno2512,anno2512
43477,attention,atenção
43478,schulmeister,mestre-escola
43479,fünfjährige,cinco anos
43480,kerne,núcleos
43481,fancie,fancie
43482,admirals,almirantes
43483,zehe,dedo do pé
43484,anstecker,anstecker
43485,beherrschten,dominado
43486,hubble,hubble
43487,voraussicht,previdência
43488,saphir,safira
43489,bürokrat,burocrata
43490,monitoren,monitores
43491,wildhüter,encarregado da caça
43492,zuließ,permitido
43493,schläfen,templos
43494,galway,Galway
43495,reiseziel,destino de férias
43496,nachzujagen,correr atrás
43497,vorangeht,precedida
43498,rudere,ruína
43499,kurdisch,curdo
43500,danas,hoje
43501,lotse,piloto
43502,carols,carols
43503,witzbolde,witzbolde
43504,defcon,defcon
43505,kusanagi,kusanagi
43506,schutzanzug,fato de protecção
43507,kolossal,sucesso
43508,provozier,provozier
43509,heerführer,comandante de exército
43510,gencoin,gencoin
43511,zahlende,pagante
43512,ladentisch,contador
43513,nachbarschaftswache,relógio de vizinhança
43514,bindend,vinculativo
43515,putzfrauen,caracteres
43516,leisen,quieto
43517,fosters,Fosters
43518,ausgeblutet,sangrou
43519,peterman,peterman
43520,staubigen,empoeirado
43521,fischfutter,fischfutter
43522,besäufnis,bebida-up
43523,versprühen,spray
43524,würzen,apimentar
43525,verbale,verbal
43526,bim,bim
43527,lissy,lissy
43528,gesalbt,Ungido
43529,isolierte,isolado
43530,modellen,modelos
43531,bewähren,provar
43532,möbelpacker,motor
43533,abartigen,excêntrico
43534,wortspiele,jogos de palavras
43535,enkelkindern,netos
43536,eingeborenensprache,língua nativa
43537,lusche,lusche
43538,elementar,elementar
43539,mäht,Cortar
43540,auslässt,omite
43541,fahnenmast,mastro de bandeira
43542,braust,surto
43543,delenn,Delenn
43544,befremdlich,estranho
43545,kniff,truque
43546,reingeschaut,reingeschaut
43547,verträumt,sonhadores
43548,neunzig,noventa
43549,lives,vidas
43550,faust-sama,Faust como-
43551,silverman,Silverman
43552,naylor,Naylor
43553,todds,todds
43554,kanye,kanye
43555,überwältigenden,muito pesado
43556,ridgeway,Ridgeway
43557,interner,interno
43558,fiedel,Fiedel
43559,hartem,Difícil
43560,hoffnungsvolle,esperançoso
43561,nygma,Nygma
43562,verzählt,verzählt
43563,teammitglied,membro da equipe
43564,aaa,aaa
43565,transformator,transformador
43566,rosalind,Rosalind
43567,ausfallend,abusivo
43568,idiotisches,idiotisches
43569,lochs,lochs
43570,lka,conselhos
43571,blütezeit,auge
43572,hüterin,guardião
43573,strolchi,strolchi
43574,spielball,bola de jogo
43575,humanitären,humanitário
43576,durchzuschneiden,cortar
43577,auszuleben,fora ao vivo
43578,koriander,coentro
43579,miststücke,pedaços de porcaria
43580,einsatzbefehl,comando operacional
43581,unsichere,incerto
43582,mehrfachen,múltiplo
43583,verseuchten,contaminado
43584,ex-knacki,ex knacki
43585,designierte,designado
43586,cammy,cammy
43587,torvald,Torvald
43588,gerückt,mudou-se
43589,uhu,coruja de águia
43590,airforce,força do ar
43591,kyi,kyi
43592,medlock,Medlock
43593,protestant,protestante
43594,cooley,Cooley
43595,lisette,lisette
43596,exposé,expor
43597,butterbrot,Butterbrot
43598,ohrringen,brincos
43599,scanlon,scanlon
43600,eingebildeten,pretensioso
43601,verwirrst,confundindo
43602,kostbarste,kostbarste
43603,maloney,Maloney
43604,kutter,cortes
43605,presidente,Presidente
43606,maison,casa
43607,richterlichen,quadra
43608,sekou,resgatar
43609,unwissentlich,inconscientemente
43610,humvee,humvee
43611,bilderrahmen,moldura de retrato
43612,ott,lá
43613,hinzulegen,mentira
43614,eyeliner,delineador
43615,crook,trapaceiro
43616,halfst,halfst
43617,sedativum,sedativum
43618,örtchen,örtchen
43619,kursänderung,mudança de preço
43620,p.j.,PJ
43621,verhütungsmittel,anticonceptivo
43622,wine,vinho
43623,immense,imenso
43624,himalaja,Himalaya
43625,hamel,Hamel
43626,yuka,Yuka
43627,einarbeiten,Comboio
43628,basketballspieler,basketballspieler
43629,gesülze,Gesülze
43630,nischt,nada
43631,fortescue,Fortescue
43632,gleichwertig,equivalente a
43633,dennison,dennison
43634,verdana,verdana
43635,verbundene,relacionado
43636,finanzielles,financeiro
43637,mageren,magro
43638,verschüttete,cabana
43639,hosenstall,hosenstall
43640,two-face,duas Caras
43641,glaser,Glaser
43642,generaloberst,Generaloberst
43643,rothaarig,rothaarig
43644,entdeckst,descobrir
43645,zo,então
43646,rubio,loiro
43647,talmud,talmud
43648,gummiband,elástico de borracha
43649,selbstredend,é claro
43650,üppige,exuberante
43651,lf,lf
43652,bermuda,Bermudas
43653,heiligste,mais sagrado
43654,kham,kham
43655,bedienungsanleitung,manual de operações
43656,bestehenden,existir
43657,14-jährige,14 anos
43658,intelligenteste,intelligenteste
43659,abnimmst,abnimmst
43660,murder,assassinato
43661,luo,Redondo
43662,methodisch,metódico
43663,amazone,Amazonas
43664,throne-tier,trono-tier
43665,schleudersitz,assento ejetor
43666,maßstäben,yardsticks
43667,bewundernswerte,admirável
43668,lieblingssohn,filho favorito
43669,niggas,manos
43670,pixel,pixels
43671,ausgebrütet,chocado
43672,weasley,weasley
43673,gefälschter,falsificado
43674,bekannteste,mais famoso
43675,zusammenzuziehen,contrato
43676,ehrlichste,sincerest
43677,überdenke,repensar
43678,forestier,floresta
43679,aufkriegen,aufkriegen
43680,stadtmauern,muralhas
43681,gastronomie,gastronomia
43682,pennington,Pennington
43683,naquadria,Naquadriah
43684,mor,mãe
43685,gedenkgottesdienst,serviço de lembrança
43686,newcastle,newcastle
43687,ungereimtheiten,inconsistências
43688,unlängst,recentemente
43689,porters,porteiros
43690,menschengestalt,semelhança humana
43691,ä,uma
43692,vetternwirtschaft,nepotismo
43693,denunziert,denunciou
43694,heiko,heiko
43695,testfahrt,Passeio de teste
43696,verlockung,sedução
43697,verna,verna
43698,nachzuahmen,imitar
43699,vernachlässigte,negligenciada
43700,spaz,spaz
43701,verpfeife,verpfeife
43702,vergreift,vergreift
43703,pathologen,patologista
43704,tschechischen,tcheco
43705,s01e08,s01e08
43706,fahrlässige,negligente
43707,kampfmaschine,máquina de combate
43708,anhöre,ouvir
43709,privatflugzeug,privatflugzeug
43710,dämonin,Damon
43711,verfeinern,refinar
43712,mikroskopisch,microscópico
43713,kloake,Drenagem
43714,unfreiwillig,involuntariamente
43715,erdkunde,Geografia
43716,informierten,informado
43717,spin,rodar
43718,burroughs,Burroughs
43719,jurek,jurek
43720,liddell,liddell
43721,pleasant,prazeroso
43722,s02e01,S02E01
43723,schrittmacher,pacemaker
43724,anatole,anatole
43725,broccoli,brócolis
43726,albernheiten,unidades tolas
43727,erkranken,adoecer
43728,erzielte,postou
43729,glücklichsein,seja feliz
43730,rechtsprechung,Rechtsprechung
43731,tanzunterricht,aulas de dança
43732,sortiment,faixa
43733,colum,Colum
43734,königinmutter,mãe Rainha
43735,eigelb,gema de ovo
43736,intimsten,mais íntima
43737,kermie,kermie
43738,gepflogenheiten,práticas
43739,verschroben,adoentado
43740,schlichtes,simples
43741,alphas,alphas
43742,magellan,Magellan
43743,stattfanden,aconteceu
43744,misslungen,fracassado
43745,incorporated,incorporado
43746,angesehensten,respeitado
43747,mcgraw,McGraw
43748,audra,tempestade
43749,spieße,espetos
43750,jimenez,Jimenez
43751,urteils,julgamento
43752,befähigt,capaz
43753,sicherheitsteams,as equipes de segurança
43754,eindrucksvolle,impressionante
43755,shanes,Shanes
43756,gaviria,Gaviria
43757,layout,traçado
43758,rack,prateleira
43759,jennas,Jennas
43760,fingst,fingst
43761,krull,Krull
43762,pluspunkt,mais
43763,piscatella,Piscatella
43764,hergehört,Ouça
43765,flaggschiff,navio almirante
43766,thermoskanne,garrafa térmica
43767,vitus,Vitus
43768,auszutragen,Cancelar subscrição
43769,milligan,milligan
43770,aussperren,impedir a entrada de
43771,visconti,viscondes
43772,tapferkeitsmedaille,medalha de bravura
43773,cowboyhut,cowboyhut
43774,corvax,corvax
43775,operationsbasis,operationsbasis
43776,weihnachtskarten,Natal
43777,telefonierten,telefonado
43778,wildfremden,estranhos
43779,tigerin,tigerin
43780,ansichtssache,ansichtssache
43781,dadrin,dadrin
43782,fußnote,nota de rodapé
43783,bamford,bamford
43784,cravat,laço
43785,japst,japst
43786,mitchells,mitchells
43787,quicklebendig,quicklebendig
43788,kaltblütige,a sangue frio
43789,imposant,imponente
43790,aufleuchten,-se luz
43791,uzi,usar
43792,alarmiere,alarmiere
43793,volksarmee,Volksarmee
43794,bluthunde,bluthunde
43795,troubadour,trovador
43796,niederträchtigen,covarde
43797,apocalypse,apocalipse
43798,lesters,Lesters
43799,zweifelsfall,de dúvida
43800,leiteten,iniciado
43801,raubmord,consumir assassinato
43802,lastwagenfahrer,motorista de caminhão
43803,schaben,raspar
43804,aufschnitt,cortes frios
43805,kissinger,kissinger
43806,klebrigen,pegajoso
43807,telepathen,telepathen
43808,gewaltsames,violento
43809,servier,servier
43810,unechten,falso
43811,ausspreche,pronúncia
43812,vulkaniern,vulcanos
43813,nagelneuen,novo em folha
43814,vorangekommen,progresso
43815,pinkerton,Pinkerton
43816,nyx,nyx
43817,schlendern,passeio
43818,sm,sm
43819,zerbrichst,quebraste
43820,ausgedient,obsoleto
43821,getappt,getappt
43822,peso,peso
43823,allwissend,allwissend
43824,ackern,ackern
43825,gewittert,gewittert
43826,mitnichten,de jeito nenhum
43827,regenwasser,água de chuva
43828,meera,meera
43829,polizeiakademie,Academia de Polícia
43830,f.b.i.,f.b.i.
43831,schwebst,flutuar
43832,traditioneller,tradicional
43833,herzelinde,herzelinde
43834,dunkelste,mais escura
43835,krankenhausbett,cama de hospital
43836,dazusetzen,dazusetzen
43837,verfärbt,descoloridos
43838,abgesoffen,inundado
43839,banion,Bani
43840,unbekanntem,desconhecido
43841,wichst,empurrões
43842,schaufelt,shoveling
43843,anrücken,avançar
43844,rumgeknutscht,rumgeknutscht
43845,bodie,bodie
43846,chefetage,piso chefe
43847,überzeugungskraft,poder de persuasão
43848,mistviecher,mistviecher
43849,stimmungen,disposições
43850,verhökert,verhökert
43851,einundzwanzig,vinte e um
43852,verkohlen,Caracteres
43853,weggejagt,weggejagt
43854,zunahme,aumentar
43855,tombstone,lápide
43856,widersprichst,contraditório
43857,kriterium,critério
43858,konstitution,constituição
43859,verdorbenes,estragado
43860,postet,postou
43861,bic,bic
43862,mitgehe,mitgehe
43863,ansprichst,ansprichst
43864,aime,amar
43865,riga,riga
43866,augusto,augusto
43867,defiance,desafio
43868,stew,ensopado
43869,gefürchteten,temido
43870,muerte,morte
43871,bestandsaufnahme,inventário
43872,dreister,dreister
43873,affekt,afetar
43874,aufgeblüht,florescida
43875,huck,huck
43876,transportschiff,transportschiff
43877,suggeriert,sugere
43878,rostow,Rostow
43879,ausschusses,comitê
43880,monks,monges
43881,einfängt,capturas
43882,halil,halil
43883,wegzuschaffen,arrebatar
43884,carli,Carli
43885,herumgekommen,tenho viajado
43886,führerin,líder
43887,fernfahrer,motorista de van
43888,sommerlager,campo de verão
43889,moonlight,luar
43890,gewunken,acenado
43891,glassplitter,vidro quebrado
43892,unerlaubte,não autorizado
43893,hamdi,hamdi
43894,faselt,faselt
43895,liebkosen,carícia
43896,nullmaterie,nullmaterie
43897,asuka,asuka
43898,target,alvo
43899,stürz,Sturz
43900,schreiberling,escrevinhador
43901,berichtest,teste retifica
43902,feathers,penas
43903,feuerwasser,aguardente
43904,undichten,vazando
43905,enter,digitar
43906,menschenkenner,connoisseur humana
43907,toxine,toxinas
43908,brutkasten,armários brut
43909,geschildert,retratado
43910,auslagen,despesas
43911,einzutreiben,recuperar
43912,mangas,mangas
43913,juchhu,juchhu
43914,fluchtgefahr,escapar do perigo
43915,hörsaal,auditório
43916,baek,baek
43917,aufbrach,partiu
43918,beduinen,beduíno
43919,stofftier,stofftier
43920,lui,seu
43921,decima,décima
43922,wahnsinniges,insano
43923,skaara,Skaara
43924,lohengrin,lohengrin
43925,befahren,cruzeiro
43926,signalhorn,cornetim
43927,geldmittel,fundos
43928,draculas,draculas
43929,zylonischen,Cylon
43930,disa,alguns
43931,heuert,contratações
43932,vernichteten,destruído
43933,frame,quadro
43934,blutrünstig,sanguinário
43935,originalität,originalidade
43936,geldverdienen,ganhar dinheiro
43937,nachttopf,urinol
43938,belastungsstörung,transtorno de estresse
43939,boyce,Boyce
43940,kacka,Kacka
43941,hak,direita
43942,friseuse,cabeleireiro
43943,eingewöhnt,aclimado
43944,adoptierten,adotado
43945,sopran,soprano
43946,monogam,monogam
43947,vorzutragen,transportar
43948,camel,camelo
43949,bandwurm,tênia
43950,rasender,arriscado
43951,precrime,Pré-Crime
43952,bespricht,discute
43953,hängten,suspenso
43954,godric,godric
43955,morbus,morbus
43956,signals,sinais
43957,greenhorn,novato
43958,kultivierte,cultivado
43959,angola,Angola
43960,desiree,Desiree
43961,ödipus,Édipo
43962,benachteiligt,desfavorecidos
43963,disziplinarverfahren,procedimentos disciplinares
43964,stiefbruder,stiefbruder
43965,zurschaustellung,exibição
43966,roussel,roussel
43967,sok,vários
43968,einquartiert,billeted
43969,alpträumen,pesadelos
43970,paw,pata
43971,degas,desgasificar
43972,untergangs,", pôr do sol"
43973,lobte,elogiado
43974,administration,administração
43975,microsoft,microsoft
43976,kästen,caixas
43977,6-mal,6 vezes
43978,hume,Hume
43979,kläffen,latido
43980,umwerfenden,esplêndido
43981,dutchman,holandês
43982,benachrichtigung,notificação
43983,wimperntusche,rímel
43984,samstagnacht,sábado à noite
43985,mullen,Mullen
43986,auspusten,auspusten
43987,trumps,trunfos
43988,ersehnte,aguardado
43989,gefeit,imune
43990,heucheln,fingir
43991,wibbel,Wibbel
43992,blender,liquidificador
43993,rendite,produzem
43994,verziehst,demoras
43995,arbeitslosengeld,seguro desemprego
43996,sepsis,sepsia
43997,brakebills,brakebills
43998,engagierter,dedicada
43999,bemessen,avaliado
44000,gebraut,fabricado cerveja
44001,einschussloch,buraco de bala
44002,martys,martys
44003,sprinkler,borrifador
44004,trilogie,trilogia
44005,gutenachtgeschichte,gutenachtgeschichte
44006,hafenmeister,capitão do porto
44007,fleet,frota
44008,drums,bateria
44009,murren,murren
44010,dylans,dylans
44011,dynamic,dinâmico
44012,schober,meda
44013,geröll,seixos
44014,nisten,ninho
44015,kinney,Kinney
44016,gaalan,gala
44017,devin,estamos
44018,charlton,Charlton
44019,chronischen,crônica
44020,randalls,Randalls
44021,geklammert,grampeado
44022,jovan,John
44023,reinbitten,pura perguntar
44024,arastoo,Arastoo
44025,erstrahlt,brilha
44026,harrow,grade
44027,farms,fazendas
44028,edgars,edgars
44029,ragt,saliente
44030,weiterkomm,vêm mais
44031,sonderausgabe,edição especial
44032,ausgewandert,emigrou
44033,versagens,fracasso
44034,tiefkühltruhe,congelador
44035,hiv-positiv,Seropositivo
44036,bezeuge,testemunhar
44037,cottle,cottle
44038,hungernde,morrendo de fome
44039,pfarrei,Pfarrei
44040,zeitzone,fuso horário
44041,verweigerung,recusa
44042,ruhigstellen,mantê-la em
44043,wirren,confuso
44044,newlin,newlin
44045,katalogisieren,katalogisieren
44046,errichteten,erigido
44047,startsequenz,sequência de início
44048,stahlwerk,Stahlwerk
44049,landarbeiter,trabalhador
44050,gizmo,gizmo
44051,gennà,Genna
44052,boxenstopp,parada
44053,oberfeldwebel,Oberfeldwebel
44054,notstrom,Energia de emergência
44055,archy,archy
44056,bindest,oprimidos
44057,todeskampf,Todeskampf
44058,hippo,hipopótamo
44059,eiskönigin,eiskönigin
44060,vierteln,trimestre
44061,spots,pontos
44062,newtons,newtons
44063,nackig,nu
44064,rook,fumaça
44065,erbricht,erbricht
44066,quetscht,squeezes
44067,abzuschleppen,rebocar
44068,uneins,dividido
44069,liras,liras
44070,ungehörig,indecoroso
44071,begriffsstutzig,obtuso
44072,missliche,dilema
44073,mägde,Mägde
44074,verrotte,apodreceu
44075,riesenhunger,enorme fome
44076,beschwingt,exaltado
44077,wallenstein,wallenstein
44078,brandwunden,Sears
44079,vlies,lã
44080,durchgesickert,vazou
44081,warn,avisar
44082,location,localização
44083,heureka,heureka
44084,bekämst,bekämst
44085,entladung,descarga
44086,brüchig,frágil
44087,andauernde,em progresso
44088,modak,modak
44089,umrisse,Umrisse
44090,kappt,cortes
44091,sternschnuppen,estrelas cadentes
44092,monden,elegante
44093,kontinents,continente
44094,zaubers,fascinação
44095,schmuckkästchen,caixa de jóias
44096,menschenmögliche,humanamente possível
44097,magnete,ímãs
44098,gesponnen,girou
44099,says,diz
44100,margret,margret
44101,christines,christines
44102,automatischer,automático
44103,angelhaken,angelhaken
44104,parzelle,trama
44105,schreibfehler,erro de soletração
44106,luftfahrt,aviação
44107,doughnut,rosquinha
44108,solly,solly
44109,erkämpft,lutou
44110,klingonischer,klingonischer
44111,amtierender,atuação
44112,kaffeebecher,Caneca de café
44113,silvana,silvestre
44114,andauernden,em progresso
44115,beschütz,Beschütz
44116,klavierunterricht,aula de piano
44117,verschleudert,desperdiçada
44118,ginn,estamos
44119,leger,Exército
44120,cordell,Cordell
44121,amyas,Amyas
44122,geteilte,dividido
44123,punchy,gorducho
44124,quai,doca
44125,zurückgibst,devolvendo
44126,zweitgrößte,segundo maior
44127,frobisher,frobisher
44128,rallye,corrida
44129,weichteile,partes moles
44130,hightower,Torre Alta
44131,anstalten,preparativos
44132,zwieback,torrada
44133,stöhnend,gemendo
44134,está,Está
44135,ökonomischen,econômico
44136,fortgeführt,contínuo
44137,erkämpfen,ganhar
44138,austauschbar,intercambiável
44139,spinnerin,fiandeira
44140,auszuarbeiten,dar certo
44141,lastenaufzug,lastenaufzug
44142,masten,mastros
44143,widerstanden,resistiu
44144,fehlfunktionen,avarias
44145,würzig,apimentado
44146,galerien,galerias
44147,fournier,Fournier
44148,zukunftspläne,planos futuros
44149,zugedrückt,virou uma cego
44150,trüge,vestiu
44151,frikadellen,almôndegas
44152,billigem,barato
44153,ladefläche,área de carga
44154,trog,trog
44155,ärztlicher,doutora
44156,boykottieren,boicote
44157,dichters,poetas
44158,wielange,quanto tempo
44159,eingefordert,pedido
44160,vertragsbruch,quebra de contrato
44161,handelsabkommen,acordos comerciais
44162,sozialstunden,social hora
44163,mutt,vira-lata
44164,lamas,a maioria
44165,furchterregende,assustador
44166,schwips,schwips
44167,abtransport,evacuação
44168,lucretia,lucretia
44169,hlen,escolher
44170,canaan,Canaã
44171,profiler,perfis
44172,gazpacho,Gaspacho
44173,kirre,domingo
44174,pfarrers,pastor
44175,zeitungsjunge,jornaleiro
44176,außenhülle,overwrap
44177,pussies,bichanos
44178,doofes,doofes
44179,absolvent,graduado
44180,repräsentantenhaus,Câmara dos Deputados
44181,atul,atul
44182,niedermachen,massacre
44183,leno,leno
44184,yuria,Yuria
44185,paff,paff
44186,fanclub,fã clube
44187,sheen,brilho
44188,verschlossener,trancado
44189,trader,comerciante
44190,kraftstoff,combustível
44191,narzissmus,narcisismo
44192,kumar,kumar
44193,martinshorn,sereia
44194,anbricht,amanhece
44195,hinfahre,onn
44196,ambiente,ambiente
44197,urmel,urmel
44198,días,dias
44199,aufschauen,olho para cima
44200,hotelbar,bar do hotel
44201,heiligsten,mais sagrado
44202,üppigen,exuberante
44203,u2,u2
44204,hirns,hirns
44205,rebellischen,rebelde
44206,homes,casas
44207,highlander,escocês
44208,tector,Tector
44209,mütterliche,materno
44210,blödheit,estupidez
44211,leander,Leander
44212,unterschieden,distinguidos
44213,bürgerpflicht,dever cívico
44214,keppler,keppler
44215,southside,lado sul
44216,pinglet,Pingle
44217,täuschungen,bluffs
44218,abgeschreckt,Quenched
44219,ausspülen,limpar
44220,kollektiven,coletivo
44221,bakshi,Bkshi
44222,gestreikt,batida
44223,kursen,curso
44224,zurückgestellt,Redefinir
44225,überspannt,extravagante
44226,radioaktives,radioativo
44227,dizzy,tonto
44228,fiktiv,imaginário
44229,verbessere,melhorar
44230,gasmaske,máscara de gás
44231,sicherheitsalarm,alarme de segurança
44232,winner,vencedora
44233,anagramm,Angrmm
44234,micawber,micawber
44235,namenlos,namenlos
44236,rosy,rosado
44237,preiselbeeren,cranberries
44238,verleugne,disown
44239,speisekarten,cartões de menu
44240,unehrlichkeit,desonestidade
44241,clays,argilas
44242,natalja,Natalya
44243,söldnern,mercenários
44244,skunk,Skunk
44245,soze,Soze
44246,beantwortete,responda
