Alemão,de-pt,Polonês,pl-pt
einparken,ler mapas,deke,Deke
gäule,nags,kaski,capacetes
diensthabende,dever,laurze,baías
loswirst,loswirst,doświadczasz,experiência
verguckt,verguckt,neuro,neuro
überheblichkeit,arrogância,zatruta,Envenenado
unweit,não longe de,usunęliśmy,nós removemos
kontinuierlich,contínuo,skokiem,pular
hanoi,Hanói,nosiłaś,voce usava
beteiligte,envolver,ogiera,garanhão
krim,Criméia,sfotografować,fotografia
aufputschmittel,estimulante,meduza,medusa
wendete,virado,mrugnięcia,no críquete
drohende,ameaçador,osobników,indivíduos
unbefugt,não autorizado,uduszony,asfixiados
näschen,nariz,maple,bordo
reitern,lanceiros,younga,Jovem
schiesserei,shoot-out,eiffla,Eiffel
allerbester,o melhor,ścianami,paredes
hilfreicher,útil,zaproponuje,propor
carrera,carrera,prawnicza,Jurídico
verirrten,extraviado,marchewka,cenoura
verbreitest,verbreitest,czadowo,czadowo
eldritch,sobrenatural,owocowy,fruta
prüften,provado,dolecimy,Nós temos
jinx,mau agouro,śledcze,investigador
lolli,lolli,rezerwie,reserva
vorzeitigen,prematuro,zaszedłem,Eu fui
herrschers,régua,szefami,cabeças
philosophisch,filosófico,rozpoznałeś,você reconhece
latrine,latrina,wzwód,ereção
alais,alais,fizyk,físico
umgestimmt,retuned,ipoda,ipod
zierlich,delicadamente,przyznałaś,przyznałaś
multiplizieren,multiplicar,yotemka,yotemka
einreise,entrada,glowe,cabeça
geborenen,nascermos,akceptują,aceitar
fünftel,quinto,pobliskiej,próximo
ringkampf,luta livre,spódniczkę,saia
plakaten,cartazes,kubków,copos
automobile,automóvel,ukończyłam,Eu me formei
barbarischen,bárbaro,klapę,aba
wünschenswert,desejável,wysiądzie,saia
avignon,avignon,wycofałem,Retirei
glockengeläut,repique,weterana,veterano
promoter,promotor,śpiącego,adormecido
generalleutnant,tenente-general,mówiłyśmy,nós dissemos
valance,cortinado,zarobiłam,Eu ganhei
leonora,leonora,zamachów,ataques
nã,n / D,finałową,final
zusammengetragen,coletada,podziwiasz,você admira
opferten,sacrificado,straciłbym,eu perco
michonne,Michonne,supermarket,supermercado
einstufen,classificar,rekonstrukcja,reconstrução
ramiro,ramiro,duval,Duval
satire,sátira,awatar,avatar
feminismus,feminismo,fresh,fresco
dekadent,decadente,nietykalność,inviolabilidade
playboys,brinquem meninos,ukończona,concluído
faseln,baba,odmieniło,mudado
kampfhandlungen,ações de combate,mumii,mamãe
psychotherapie,psicoterapia,autorów,autores
mcc,MCC,pornosy,pornô
alarmglocken,alarme,narobiłam,eu fiz
aktivist,ativista,bliźniego,vizinho
hakenkreuz,suástica,przerażenia,terror
whiteside,lado branco,obciążać,tensão
himmelblau,céu azul,włócznię,lança
pfiffig,inteligente,wydobrzejesz,melhorará
dienstschluss,conexão de serviço,magazynem,revista
skrupellose,sem escrúpulos,cieszyli,eles desfrutaram
eleven,onze,przegryźć,morder
sprague,Sprague,poświęcone,sagrado
räucherstäbchen,incenso,zawaham,hesitar
shasta,shasta,odette,odette
stimulierend,estimulante,dobijemy,atirar
stehlt,roubar,umówiłaś,umówiłaś
jugendstrafanstalt,Centro de Detenção,uderzając,batendo
pastis,pastis,siadamy,Nós sentamos
cemil,cemil,odłamków,fragmentos
durchforstet,vasculharam,trafiasz,você acertou
mumien,múmias,ohhh,ohhh
lounds,Lounds,podchody,perseguição
kindlein,Kindlein,przywitanie,receber
lieblingsrestaurant,restaurante favorito,wzrostem,aumentar
staubsaugen,vácuo,skazuje,Condena
geschwärzt,enegrecido,uwolniona,liberado
operative,operacional,wrócic,volte
hofstadter,Hofstadter,przejrzy,transparente
glückspilze,cogumelos da sorte,ściemniać,escurecer
wurmlochs,lagos sem-fim,kropelki,gotas
milena,milena,szczerej,sincero
support,"Apoio, suporte",purpurowy,roxo
unendlicher,sem fim,sztandar,bandeira
muttern,nozes,prawdopodobna,provável
dämonenblut,sangue de demônio,planszy,o quadro
erstbeste,roliço,kategoriach,categorias
jarrett,Jarrett,mays,mays
tabby,malhado,zbuduje,vou construir
erschließen,toque,1x08,1x08
rieb,friccionado,smutnej,triste
sicherheitsprotokoll,protocolo de segurança,goose,Ganso
streif,roaming,radcliffe,Radcliffe
seismische,sísmico,arab,árabe
lebenswandel,modo de vida,połknąłem,Engoli
begutachtung,enquete,zamieszane,envolver
berechnend,cálculo,igrasz,você joga
abzuheben,retirar o,pokonaj,derrota
vettern,prima e primo,fidżi,Fiji
gejammert,choramingar,kierowała,dirigido
tierquälerei,crueldade animal,pryzmat,prisma
ismael,ismael,bog,Deus
familienbetrieb,negócios de família,ekscytuje,excita
klipp,penhasco,rozpala,kindles
denzel,Denzel,ucałować,beijo
junk,porcaria,giełdy,intercâmbio
auda,Auda,adrianna,Adrianna
baumelt,dangles,dźwig,guindaste
aufteilung,divisão,diabelska,o diabo
jamaikaner,jamaicano,założyciela,fundador
lhasa,lhasa,ev,ev
zehnjährige,dez anos,gadający,o falar
purdy,Purdy,danielowi,daniel
wasserpistole,arma De Agua,katolików,católicos
spielzeugladen,loja de brinquedos,zorganizowała,organizado
musikanten,Musikanten,oszuka,enganar
mündlichen,oral,wmawiasz,Você diz
superheldin,super-heroína,fontannę,fonte
lustmolch,lascívia,polsku,polonês
weltraums,espaço sideral,zakręcona,louco
heeyong,heeyong,sprawdzając,verificação
erhabenheit,sublimidade,szukajmy,-nos olhar
spurensuche,spurensuche,przyjrzałam,examinei
zeitweilig,temporário,niebiescy,Paraíso
tückisch,traiçoeiro,złamią,intervalo
smithy,forja,namawiać,persuadir
möbelstück,mobília,rodzicielstwo,paternidade
störten,interrompido,mix,misturar
burchell,Burchell,grimmem,Grimm
strauch,arbusto,dyskretna,discreto
ergebnislos,inconsequente,syracuse,Syracuse
schlaftrunk,bebida,panienkami,broads
atemberaubende,tirar o fôlego,dbałem,cuidei
grüezi,Olá,wodzy,rins
kopfverletzungen,ferimentos na cabeça,przysiegam,juro
blacky,blacky,chusteczek,lenços
vorschlägt,sugere,polizać,lamber
eingespannt,pinçada,teściowej,sogra
ciark,ciark,kapłanie,padre
gemachten,fez,otworu,calibre
wildlinge,nerds selvagens,drogowych,estrada
schubkraft,impulso,bean,feijão
unbeabsichtigt,involuntariamente,przymus,coerção
winch,guincho,spaniem,adormecido
ester,éster,bezmyślnie,impensadamente
glücksspiele,jogatina,kształtów,formas
camembert,queijo Camembert,jes,thi
past,passado,obrazach,pinturas
wälzt,circulou,zaoszczędzimy,poupamos
lefebvre,Lefebvre,supernatural,sobrenatural
zuverlässigkeit,confiabilidade,piosenkarz,cantor
hervorbringt,produz,hd,hd
kombüse,vagão,wygaduje,Ditado
abnormal,anormal,przychodziło,chegando
überstehe,em stand,wędkę,cana de pesca
persisch,persa,obwiniają,culpa
deflektor,defletor,ekonomiczny,econômico
wolfman,lobisomem,teller,caixa
rager,rager,billings,Billings
gliedern,estrutura,denata,morto
gepanzerten,blindado,wydawanie,emissor
mafiaboss,chefe da máfia,przepiszę,reescrever
dostojewski,dostojewski,lark,cotovia
kirsch,cereja,wojownicza,Guerreiro
nachgibt,Cede,construction,construção
tanzes,dança,zażywać,levar
stapleton,Stapleton,zamianę,intercâmbio
hannas,Hannas,przybywasz,você vem
porgy,porgy,pożegnał,adeus
torrio,Torrio,dziala,funciona
hübschesten,mais bonita,strzegł,guarda
übermannt,superar,akademik,dormitório
zsa,Zsa,reklamowej,anúncio
orm,ORM,obwodu,o circuito
keanu,Keanu,posiedzi,vai sentar-se
warfst,jogou,wyjaśniło,explicado
freitagnacht,noite de sexta-feira,sprowadzają,descer
kindesmissbrauch,abuso de crianças,przecinek,vírgula
eisprung,ovulação,walczyły,lutaram
widerstrebt,relutante,służbowa,uniformes
sat,sentado,bitwach,batalhas
angehäuft,acumulativo,najsilniejszym,o mais forte
kovar,kovar,ustępuje,persiste
gerader,direto,zla,mau
gegenspieler,contra jogadores,wrobiono,foi incorporada
zuru,zuru,wrzucasz,você ficar
weltalls,universo,wypłat,pagamentos
anpassungen,ajustes,misiem,suportar
beklagst,reclamar,badali,eles investigaram
indianisch,indiano,namówiłem,Convenci
schulleiterin,diretora,rzutu,lançar
aufzufangen,pegar,penisy,pênis
denunzieren,denunciar,zdolnościach,habilidades
zwicken,pitada,przeciwpożarowy,fogo
stichen,gravuras,pokojowa,Quarto
nordöstlich,nordeste,obejrzeniu,vendo
mes,mes,wolontariuszką,voluntário
campos,Campos,sierotami,órfãos
dreckschweine,porcos sujeira,kołami,rodas
kack,besteira,bazuje,baseia-se
wataru,wataru,dywanów,tapete
vorstellungsgespräche,imaginação fala,tabletka,comprimido
unaufmerksam,desatento,uruchomię,corre
schlaffen,flácido,wprowadzanie,introdução de
kardiologe,cardiologista,najprostsze,o mais simples
blogs,blogs,drinkach,bebidas
vorprogrammiert,pré-programado,zboczeńców,pervertidos
mittelschicht,classe média,zgwałcono,estuprado
waldbrand,queimada,przebywała,visitou
iraker,iraquiano,rozwiódł,divorciado
robocop,robocop,zwariuje,ficar louco
stiftet,doa,piaskownicy,caixa de areia
rostet,ferrugens,zmierzymy,medimos
rücksichtsloser,cruel,żartowałeś,brincando
praline,Doce de chocolate,ogólnego,em geral
schlamperei,sloppiness,bajzlu,bagunça
lada,lada,dobytek,gado
vernetzt,rede,wymagające,requerendo
abspülen,limpar,drzazga,lasca
martel,Martel,brutalności,brutalidade
rios,rios,santino,Santino
veröffentlichten,Publicados,zbliżę,chegue perto
reingewaschen,limpo lavado,rangę,classificação
luann,Luann,fabuła,história
itchy,Pruriginoso,głowicę,cabeça
namenlose,sem nome,zapewniła,forneceu
drakes,drakes,ping-ponga,mesa de ping pong
liebschaften,uniões amorosas,spadochronu,pára-quedas
ignoranten,ignorante,zasłoną,cortina
grammophon,gramofone,snajperem,Franco atirador
amadeus,Amadeus,wielbłąd,camelo
blockierte,bloqueado,toksyczna,tóxico
terroranschläge,ataques terroristas,obserwowani,seguido
gebüßt,Expiou,pojawieniem,o advento
x5,x5,naćpałeś,É você alto
sec,seg,faber,faber
mint,hortelã,salomon,Salomão
warlow,Warlow,rommie,Rommie
zoran,Zoran,uciekałam,Corri
herrschten,prevalecido,grubasku,GORDINHO
meeren,mares,siodła,selim
timbuktu,Timbuktu,groźbami,ameaças
edgware,edgware,annabeth,Annabeth
piotr,piotr,drukarki,impressora
überliefert,tradicional,getcie,gueto
vietkong,Vietkong,zacięła,encravado
losreißen,rasgar,zjawa,aparição
knechten,subjugar,żreć,comer
grundstücks,porção de terra,cunningham,Cunningham
macs,macs,studenckie,Aluna
rundes,Redondo,jadący,equitação
barrymore,barrymore,owym,em que
fackelt,deslumbrante,unikniesz,evitar
räuchern,fumaça,uciekniecie,fugir
table,tabela,autyzm,autismo
anweisen,instruir,oł,CH
ziegler,Ziegler,jimmie,Jimmie
post-it,postá-lo,milczą,silencioso
m5,m5,wymagana,requerido
grasen,pastar,igrać,e jogar
odd,chance,hawaii,Havaí
krachte,caiu,przestrzenią,espaço
edition,edição,przesunięcie,mudança
verkümmert,atrofiado,robiłabym,robiłabym
fränze,Franze,pizdą,cona
beratungen,consultas,czekac,esperar
muldoon,muldoon,żonaci,casado
verhätschelt,coddled,sporej,considerável
goines,Goines,posprzątajcie,limpar
ausreichende,suficiente,alden,Alden
gallery,galeria,wybierzecie,você toma
spe,spe,szpitalnej,hospital
anforderung,Requerimento,nidge,Nidge
funksignal,Sinal de rádio,negatywnych,negativo
kaida,qaeda,przygodą,aventura
aufgeblasene,inflado,przesąd,superstição
hundi,hundi,posłałeś,enviado
meisterwerke,obras-primas,rogów,chifres
techno,techno,pochodzący,derivando
sto,sto,odjedziemy,nós saímos
schutzpatron,padroeiro,taryfę,tarifa
fianders,fianders,ubioru,roupas
darfur,Darfur,powołania,encontro
poltergeist,demônio,braterstwa,fraternidade
abklappern,scour,cod,bacalhau
obacht,Cuidado,deal,lidar
heimgeschickt,casa enviado,borga,Borg
würgte,vomitou,samuelu,Samuel
disput,disputa,niezliczoną,incontável
seefahrt,viagens marítimas,przepaści,o abismo
gefechtsstationen,batalha-estações,masowy,massa
lauge,lixívia,dzikus,selvagem
rühmen,elogio,jock,jock
tonny,tonny,małżeńskiego,casado
griffbereit,conveniente,isn,isn
dicksten,mais grossa,gorycz,amargura
nachhaltig,sustentado,przywieziesz,você trouxe
ramen,ramen,olbrzymim,gigante
vortäuscht,finge,dentystyczne,dental
tropez,tropez,kupka,pilha de
schieber,impulsor,buford,Buford
identischen,idêntico,przerabiać,reciclar
quillt,swells,tampon,tampão
vorgibst,fingir,pijane,bêbado
bligh,Bligh,rączką,lidar
vorherzusagen,prever,wstąpiłeś,você se juntou
bersten,explodido,warstwą,camada
potters,oleiros,woltów,volts
perth,Perth,doping,torcendo
durchgehend,contínuo,usługa,serviço
übersiehst,negligenciar,narodzeniem,aniversário
verdamme,droga,uściśnij,Sacudir
flügen,vôos,przeczy,nega
instabile,instável,porada,Conselho
hoffnungslosigkeit,desespero,komenda,comando
äquivalent,equivalente a,bridgette,Bridgette
dickicht,matagal,zagłosują,voto
käm,BRIGANDO,nakazów,injunções
margherita,margherita,wytwarzają,produzir
skandalöse,escandaloso,odgryźć,snap off
kritischem,crítico,rozwalisz,esmagar
wildcats,Wildcats,żywisz,você alimenta
cheerios,cheerios,koniowi,cavalo
bediente,aproveitado,goryli,gorilas
gelte,aplica,popatrzymy,olhar
marceau,marceau,wycofane,retirado
umlege,umlege,reginald,Reginald
xifeng,Xifeng,dochodziło,ocorreu
estes,Estes,ukryłaś,escondeu
hochgeklettert,subiu,overwatch,Overwatch
einprägen,inculcar,ustały,cessado
siedlern,colonos,uprowadzony,raptada
basen,bases,modlitwą,oração
unterstand,abrigo,poleciałem,eu voei
felswand,rockface,skrajnie,extremamente
waldrand,borda das madeiras,dzyń,tinido
sprechchor,canto,zwróciło,devolvida
gebräunt,bronzeada,wzięci,abduzidos
richelieu,richelieu,zrzuca,lixões
katapultiert,catapultou,spaceruje,andando
asiatisch,asiático,rekordu,registro
boa,boa,praniem,lavanderia
trout,truta,führera,Fuhrer
hölzerne,Madeira,próbne,tentativas
pennies,moedas de um centavo,spodenkach,calção
kinderbücher,livros infantis,pensylwania,Pensilvânia
mogli,mogli,zaufanych,confiança
nihal,nihal,śniłaś,Você estava sonhando
geheul,uivo,przestawać,consorte
rauslocken,cachos,odbędą,vontade
notizbücher,cadernos,nawijaj,Enrolamento
organspender,doador de órgãos,caruso,Caruso
trooper,Soldado,poniżyć,humilhar
asenkerschbaumer,Asenkerschbaumer,kokpitu,cabine do piloto
abzuhören,ouço,przydarzyła,aconteceu
pepi,pepi,aborcja,aborto
apotheken,farmacia,uzi,Uzi
culpa,culpa,francuzką,Francesa
streep,streep,greków,gregos
hüpfer,saltar,uv,uv
kimberley,Kimberley,kensington,Kensington
sackgassen,becos-sem-saída,tańszy,mais barato
cailin,Cailin,wyleczymy,cura
sangria,sangria,żuć,mastigar
lego,Lego,napiłbym,eu poderia usar
rezeptur,receita,zoya,zoya
unähnlich,diferente,wplątać,tecer
orly,orly,luizjany,Louisiana
ho-ho,ho-ho,znaleźlibyśmy,Nós achamos
schuldspruch,veredicto de culpado,kellogg,Kellogg
glasauge,olho de vidro,liże,lambida
chev,chev,basie,baixo
grauens,Horror,zamazane,borrada
countess,condessa,odprowadził,acompanhado
tale,conto,inwestora,investidor
heringe,arenques,listami,listas
einhaltung,observância,wybieg,corre
verneint,negativo,zasugerowałem,Eu sugeri
gewebeproben,amostras de tecidos,kieckę,anágua
familienfeier,festa de família,prawniczą,empresa
verhalt,se comporta,obiecywał,ele prometeu
begrüssen,receber,manuela,manuela
interferenz,interferência,kwartał,trimestre
volkswagen,Volkswagen,zmyśliłam,eu inventei
danby,danby,karetką,ambulância
indisponiert,indisposto,uliczna,rua
schaufensterpuppe,manequim de exibição,odejdziecie,você se foi
furchtlosen,destemido,sobowtóra,parece-se
sprudeln,bolha,przełęczy,passar
chesapeake,chesapeake,swędzenie,coceira
vernachlässigung,negligência,drastycznie,severamente
zubereitung,preparação,przykłady,exemplos
mannys,Manny,wielbiciela,devoto
davos,Davos,pseudonimem,o pseudônimo
chaussy,chaussy,led,liderado
gesammelten,coletada,oczekiwali,eles esperavam
plummer,Plummer,urosłeś,Você tem crescido
praktisches,prático,gai,gai
siebert,Siebert,słabsze,mais fraco
marschiere,marcha,projektantem,estilista
treme,treme,ps,ps
letterman,Letterman,skazane,condenado
donnerschlag,trovão,podziwiał,admirado
gourmet,gourmet,zamawiałam,ordenou uma
mistkerlen,kerlen porcaria,wprowadzone,implementado
auszuleihen,emprestar,johns,johns
kelle,espátula,towarzyszyła,acompanhado
befreundeten,amigáveis,krat,bares
gülnihal,Gulnihal,służącej,empregada
meckerst,meckerst,emigrantów,imigrantes
kerben,entalhe,terapie,terapias
zusammengefügt,juntos,maskach,máscaras
jenson,Jenson,połączmy,Junte-se
nugget,pepita,kapustę,repolho
noreen,noreen,zażywa,tirando
unzugänglich,inacessível,pozostaję,eu permaneço
buttons,botões,absolwent,graduado
davontragen,Sofra,muzą,musa
temporäre,temporário,otwierając,abertura
analsex,analsex,mięczaki,moluscos
due,devido,kuchenki,microondas
konsortium,consórcio,podbite,conquistado
staatliches,Estado,pieszych,pedestre
eingelaufen,sido executado,okazywał,mostrou
alonso,alonso,tragicznym,trágico
gespaltene,parceladas,oryginału,o original
höllenqualen,inferno tormento,odpalił,despedido
janos,Janos,włoskich,italiano
guevara,Guevara,spóźniać,estar atrasado
vernünftigste,razoável,zużywa,consome
voraussichtliche,esperado,ryzykują,risco
hinzurichten,executar,zarobków,ganhos
schmerzliche,doloroso,książęta,Os princípes
soundcheck,checagem de som,wystąpisz,wystąpisz
nullpunkt,zero,świeżak,Avatar
listig,astuciosamente,gwałtów,estupro
zeta,zeta,whitaker,Whitaker
s01e05,S01E05,pomyśleliście,você pensou
halloween-party,festa de Halloween,naruszyć,violação
dewitt,DeWitt,układam,Eu coloco
gaffney,Gaffney,gruźlicę,tuberculose
kanako,Kanako,l.a,la
bewohnen,ocupação,skautów,Escoteiros
kinofilm,kinofilm,hole,buraco
stiefschwester,meia-irmã,przestraszyło,assustado
ausgestanden,suportou,khalid,khalid
vögle,vögle,kanionie,desfiladeiro
delorean,DeLorean,risotto,risotto
vaginas,vaginas,najazd,invasão
kontroversen,controverso,pulsie,pulso
barden,bardo,pobijesz,desbaratar
haftbar,passível,biedacy,os pobres
whatever,qualquer que seja,przywiązał,ligado
shields,escudos,mikrofali,microondas
forschungsergebnisse,resultados da pesquisa,czasowych,Tempo
elysium,Elísio,bezsilna,impotente
sheffield,Sheffield,atomowych,nuclear
campbells,campbells,lesba,sapatona
knacki,atraso,podatna,propenso
verdächtigst,suspeitando,telewizyjnego,televisão
thoraxdrainage,drenagem torácica,jayne,Jayne
glasisch,glasisch,zabawiał,entretido
claw,garra,posiadała,Ele tinha
einschleimen,einschleimen,myśliwego,Caçador
abzuwaschen,lavagem,pięt,calcanhares
markierte,rotulado,ścigani,perseguido
shifu,shifu,u.,no.
spore,esporo,debacie,debate
b.b.,B. B.,przełęcz,passar
kyra,Kyra,shiva,shiva
magazins,revista,dilaurentis,DiLaurentis
märkten,mercados,całowali,se beijando
statische,estático,przekroczymy,atravessar a
dienstleistung,serviço,jednoręczny,handed
loslasse,solte,przejrzała,examinou o
runterzuholen,masturbando,kupowali,eles compraram
flecke,manchas,macierzyństwo,maternidade
verplant,verplant,dowiedzie,aprender
buckner,Buckner,ekrany,telas
energies,energias,posunąłeś,você se foi
vila,Vila,wytrysk,ejaculação
qaida,qaeda,zagrożonych,ameaçado
pierson,Pierson,note,Nota
übertragbar,transferível,oblałeś,você falhou
grimaud,Grimaud,poświęceniu,dedicação
fremdem,estrangeiro,wydawania,emitir
hierdurch,por este meio,maczał,mergulhado
tuts,tuts,pojąłem,compreendi
gepanzert,blindado,pilnowałem,I vigiado
health,saúde,notesie,caderno
nordwind,Vento Norte,zwycięzcami,vencedores
kühlschränke,frigoríficos,rajiv,rajiv
flacher,plano,polio,poliomielite
marschierte,marchou,odpali,incêndios
merkwürdigerweise,estranhamente,singapurze,Cingapura
chiffre,cifra,obcas,salto
pianisten,pianista,snami,sonhos
charter,fretar,kilkadziesiąt,várias dúzias
aktionären,acionistas,droidy,droids
kraftlos,impotente,brały,tomou
zündest,zündest,kretynka,idiota
suaheli,swahili,mokrą,molhado
pettigrew,Pettigrew,psią,cão
treasure,Tesouro,garner,celeiro
controller,controlador,pożyje,viver muito
kaulder,Kaulder,klip,grampo
blutrünstige,sanguinário,bernstein,Bernstein
reynholm,reynholm,przeszukałam,eu pesquisei
seifenblasen,seifenblasen,przygotowaniu,preparação
whitehead,Whitehead,podporządkować,subordinar
sachiko,sachiko,algierii,Argélia
schlafrock,vestido formal,jolbon,jolbon
schlafzimmern,quartos de dormir,zabil,assassinado
weihnachtslied,canção de Natal,kierunkowy,direcional
lockeren,solto,białasie,rapaz branco
digby,Digby,prowincja,província
verhandelst,estão negociando,szeroka,ampla
gaspard,Gaspard,laserowy,laser
wohngegend,Área residencial,prowadziły,liderar
bonzen,gatos gordos,zastanę,Eu iria encontrar
hakenzahn,dente gancho,darryla,Darryl
doppelschichten,bicamadas,natchnienie,inspiração
trügerisch,enganoso,kupione,comprou
snobs,esnobes,wysłuchane,ouvi
elia,elia,krtani,laringe
umsiedlung,restabelecimento,sedan,sedan
nixons,Nixon,proporcje,proporções
negativer,negativo,postąpisz,farás
skrupelloser,cruel,chaney,Chaney
dressiert,treinado,kwan,kwan
unreife,imaturidade,przytrzymam,Eu vou segurar
gefreiten,corporal,zacięło,encravado
opal,opala,evę,Eva
kaffees,cafés,seinfeld,Seinfeld
formte,em forma,pamiętając,lembrando
points,pontos,błyskawicy,relâmpago
pray,rezar,magdalena,magdalena
zwanzigern,vinte anos,oddaniu,devoção
grausamste,cruel,wąwozu,ravina
umdrehst,inversão de marcha,zaczeli,começado
auflisten,Lista,ostrożniejszy,cauteloso
happiness,felicidade,typową,típica
modifizierte,modificada,fleur,fleur
lappalie,bagatela,spadochronem,pára-quedas
loops,rotações,dianne,Dianne
coyle,Coyle,przestarzały,obsoleto
eingehe,eingehe,wołowiną,carne
zedd,zedd,sailor,marinheiro
versengt,chamuscada,oddalaj,vira-latas
lolly,pirulito,umierająca,morrendo
hinkam,chegou lá,superbohatera,Super heroi
himmlisches,celestial,geralda,Gerald
teii,Diz-,kupiony,comprou
wissenschaftsoffizier,oficial de ciências,podejściu,aproximação
duncans,duncans,brigitte,Brigitte
hoods,capuzes,lydio,Lydia
semesters,semestre,przeleć,Porra
brainpower,inteligência,podjęto,ocupado
schachbrett,tabuleiro de xadrez,narasta,aumenta
piri,piri,podwieczorek,chá
manhattans,Manhattan,drapać,"coçar, arranhão"
galaktischen,galáctico,przyszedl,veio
wegwirft,Joga fora,przeprosiła,justificada
manipulierst,manipular,wsparciu,"Apoio, suporte"
ghislaine,ghislaine,uprząż,aproveitar
erdrücken,A paixão súbita,protezy,dentaduras
gebildeten,formado,infekcje,infecções
fiktive,fictício,scot,escocês
daisys,margarida,brytyjską,britânico
kowloon,Kowloon,bezrobocie,desemprego
gesicherte,seguro,slumsów,favela
grégoire,grégoire,niewidzialną,invisível
existierenden,existir,macicę,útero
orlow,Orlov,zechciała,Ele está disposto
spezialistin,especialista,cienko,fino
dezimiert,dizimada,chcia,procurado
geheiminformationen,informação secreta,natknęliśmy,Nós viemos
schulgelände,campus da Escola,tury,Redondo
subjekte,assuntos,drobnej,pequena
yea,sim,dziobem,arco
kühlsystem,sistema de refrigeração,prezerwatywę,preservativo
hutton,Hutton,nauczyliście,aprendido
slang,gíria,mściciel,vingador
kasim,kasim,zemdleć,desmaiar
lucía,lucía,kłów,caninos
heilungsprozess,processo de cicatrização,twardzieli,cerne
ivana,Ivana,zev,Zev
rumgespielt,brincando,jesteœ,você é
karabiner,carabina,zasięgnąć,consultar
heizkörper,radiador,anime,anime
barley,cevada,kochaś,amante
telegrafieren,telégrafo,cukrzycy,diabetes
zuviele,muitos,clear,Claro
rasenden,furioso,blur1,blur1
torero,torero,zakrzep,coágulo sanguíneo
gunny,gunny,olimpiady,Jogos Olímpicos
taras,taras,transmisje,transmissões
roanoke,Roanoke,luizjanie,Louisiana
maybelle,maybelle,maszynowe,maquinaria
chromosomen,cromossomos,warda,warda
beeindruckte,impressionado,fajka,tubo
juliane,Juliane,wypowiada,pronuncia
kitano,kitano,zakręty,torções
produktionsfirma,companhia de produção,powszedniego,diariamente
gleichgestellt,igual,rozmawiałyście,fez você fala
beelzebub,Belzebu,umknąć,escapar
erkenntnissen,resultados,wydostała,escapado
funktionierten,funcionaram,przerzuty,metástase
tombola,tômbola,udokumentowane,documentada
frohsinn,alegria,robiących,fazendo
artischocken,alcachofras,umawianie,namorando
michels,michels,wiarygodnie,com segurança
lalala,lalala,arabski,árabe
gebrauchtes,usava,tarę,tara
schwachköpfen,cabeças fracas,głusi,surdo
edam,edam,porzuci,abandono
genügte,o suficiente,przenośnia,metáfora
wettkämpfer,concorrente,grupami,grupos
marein,Marein,upartym,teimoso
marschbefehl,ordens de marcha,falling,queda
navarra,navarra,narzekań,queixas
bubbs,Bubbs,paszczę,mandíbulas
sexappeal,sexappeal,kłamiecie,você mente
traumas,traumas,zwalniają,desacelerar
bigelow,Bigelow,kuchenkę,fogão
fassten,fronteira,ignorancja,ignorância
vorstandsmitglied,Policial,gilroy,Gilroy
weitergegangen,perdido,niszczył,destruído
boing,Boing,djdzon,djdzon
dobby,maquineta,ratownikiem,Salva-vidas
fixierung,fixação,zbudowała,construído
elk,alce,grata,grata
abchecken,abchecken,występujesz,executar
calderon,calderon,obiekcje,objeções
mlle,mlle,tancerze,dançarinos
devore,devore,krawacie,laço
mitzählen,eu conto com,wydzwaniać,pedágio
zandt,zandt,cienias,coisinha
scullys,Scully,rozglądaj,olhar em volta
standhält,Suporta,korpusie,o corpo
ungewollte,não intencional,edge,Beira
auslese,escolha,ulegają,estamos
eindeutiges,Claro,mccord,McCord
cavendish,tabaco em tabletes,sztucznym,artificial
stoppten,parado,durną,boba
mirjetzt,mirjetzt,lesbijkami,lésbicas
zipfel,gorjeta,miłosnej,amar
rausgerannt,acabou,badawcze,pesquisa
läsionen,lesões,gayle,Gayle
balla,balla,skrzywdziłby,doeu
gotteshaus,local de culto,zbierała,reunião
auspackt,Desembala,odłączony,desconectado
wachten,monitorou,klasycznym,clássico
peugeot,peugeot,zamarznie,congelar
geologische,geológico,wybija,Claro
klassik,Clássico,misce,uma tigela
überlasten,sobrecarga,kradłem,Eu estou roubando
marat,marat,zbiorników,tanques
pasteur,pasteur,pomocni,útil
zauberformel,fórmula mágica,przełączę,eu mudo
onkologie,oncologia,chciwi,ambicioso
weinprobe,degustação de vinho,pierdoleni,maldito
bösartiges,malicioso,lecter,lecter
ultron,Ultron,whitmore,Whitmore
versorger,fornecedor,ogierze,garanhão
mädchenhaft,feminino,ekstremalnych,extremo
negerin,negra,lądowaniu,pousar
ljudmila,lyudmila,rozwalili,eles esmagaram
tonart,chave,żelaznej,ferro
umrühren,mexer,śniadaniowe,café da manhã
thorin,thorin,ratowaniem,resgatar
allerhöchste,Altíssima,pokochali,amar
entzündete,inflamado,nieuprzejma,rude
shreveport,Shreveport,dorzuć,jogar
glaber,Glaber,siłom,forças
torgeir,Torgeir,milos,Milos
ausführliche,detalhado,czyz,devemos
blaskapelle,banda de metais,sikasz,urina
hrothgar,Hrothgar,odgłosów,sons
sacken,decair,potrzebami,eu preciso de
tacho,velocímetro,szarpać,empurrão
spinnern,spinners,szepczesz,sussurrar
haldeman,Haldeman,monitoruje,monitores
subcommander,subcomandante,zbrojne,armado
entwirren,desvendar,afekcie,paixão
ausbrecher,fugitivo,woodward,vagabundo
